degree distribution (probability density function of the degree in logarithmic bins) 
7.44469	0.180683
9.47649	0.0872881
11.4681	0.0500536
13.8997	0.0443274
16.8947	0.0238976
20.3951	0.0161879
24.7597	0.0114392
30.3123	0.00840119
37.1964	0.00611056
45.5696	0.00354081

degree distribution (degree-occurrences) 
7	0.1526
8	0.1222
9	0.0846
10	0.077
11	0.06
12	0.0528
13	0.047
14	0.0398
15	0.0348
16	0.033
17	0.0222
18	0.0246
19	0.0186
20	0.0172
21	0.0154
22	0.0146
23	0.0154
24	0.0114
25	0.0108
26	0.0094
27	0.0096
28	0.0096
29	0.0088
30	0.009
31	0.0094
32	0.007
33	0.0068
34	0.0082
35	0.0076
36	0.0054
37	0.0036
38	0.0032
39	0.0054
40	0.0056
41	0.0058
42	0.0036
43	0.0044
44	0.0044
45	0.005
46	0.003
47	0.0028
48	0.0028
49	0.003
50	0.0026


--------------------------------------
community distribution (size-occurrences)
20	0.0342466
21	0.0205479
22	0.0547945
23	0.0273973
24	0.0273973
25	0.0342466
26	0.0410959
27	0.0616438
28	0.0136986
29	0.0136986
30	0.0342466
31	0.0547945
32	0.0342466
33	0.0273973
34	0.0342466
35	0.0205479
36	0.0479452
37	0.0205479
38	0.0342466
39	0.0547945
40	0.0273973
41	0.0479452
42	0.0273973
43	0.0205479
44	0.0342466
45	0.0136986
46	0.0205479
47	0.0547945
48	0.0342466
49	0.0205479
50	0.00684932


--------------------------------------
mixing parameter (topology)
0.25	0.0004
0.285714	0.0016
0.301282	0.0012
0.333333	0.0006
0.362204	0.0024
0.376608	0.0542
0.401517	0.0552
0.427033	0.2376
0.447601	0.3188
0.46728	0.1414
0.49994	0.1568
0.538462	0.0002
0.568825	0.0282
0.6	0.0006
0.625	0.0006
0.714286	0.0002

--------------------------------------
mixing parameter (weights)
0.433986	0.0002
0.43581	0.0004
0.43846	0.0006
0.43955	0.0002
0.440255	0.0004
0.441812	0.0012
0.442641	0.0002
0.44424	0.0012
0.445635	0.0004
0.446808	0.0028
0.447962	0.0108
0.449266	0.1032
0.450062	0.8506
0.451169	0.0264
0.452588	0.0012
0.458064	0.0002

--------------------------------------
internal weights (weight-occurrences)
0.336813	0.0451282
1.31872	0.0638166
2.16133	0.102478
3.00532	0.137619
3.85124	0.153169
4.68602	0.147796
5.52922	0.119216
6.38759	0.0833611
7.2418	0.0574445
8.08998	0.0386133
8.94421	0.021827
9.80155	0.0145989
10.6475	0.00870227
11.4852	0.00323363
12.4073	0.00137905
13.2344	0.000808407
13.989	0.000380427
14.7457	9.51068e-05
15.9316	9.51068e-05
16.7525	0.000237767

--------------------------------------
external weights (weight-occurrences)
0.33233	0.00744056
0.928259	0.0206941
1.50665	0.0513283
2.07786	0.0788235
2.66093	0.0995757
3.25201	0.11033
3.83654	0.113759
4.42204	0.107016
5.01156	0.093879
5.5986	0.0833576
6.18445	0.064233
6.77562	0.0524908
7.36698	0.0422019
7.95163	0.0284834
8.54521	0.0210428
9.13503	0.0127303
9.71295	0.00842876
10.2846	0.00319712
10.7836	0.000813812
11.5351	0.000174388
