15000	114375
1	5113	1.97859
1	8574	1.56411
1	9330	2.50397
1	11631	3.48078
1	12159	3.565
1	12398	3.57579
1	14563	3.66815
2	2376	1.60529
2	5823	1.7622
2	8546	2.50866
2	11129	3.51102
2	11512	3.62585
2	11706	3.65521
2	14717	2.12344
3	7374	3.64829
3	8213	0.933514
3	11959	2.71903
3	12104	2.88298
3	12258	3.25122
3	12828	3.17501
3	13177	3.70647
4	2397	0.25873
4	11740	0.114711
4	13603	2.24635
4	14013	3.13803
4	14184	3.29373
4	14335	3.53769
4	14606	4.07898
5	9817	0.944879
5	11277	2.02746
5	11699	2.12973
5	11794	2.24246
5	12703	2.64645
5	13026	2.92345
5	13842	3.7538
6	4620	1.24335
6	6048	1.11312
6	9830	1.68694
6	10310	2.34132
6	10619	2.57809
6	13174	3.70623
6	13293	3.99919
7	4730	0.77771
7	5890	0.898277
7	6168	1.18001
7	7765	1.62689
7	12362	3.69138
7	12836	4.12264
7	13231	4.37132
8	7152	0.828677
8	7709	1.1437
8	10736	2.41776
8	11074	2.35827
8	11641	2.84925
8	12575	3.46688
8	12721	3.6037
9	845	1.07788
9	1146	1.57872
9	4332	1.9429
9	8659	2.43985
9	8750	2.50988
9	11355	3.33824
9	11957	3.78075
10	2370	2.26274
10	6707	1.57398
10	6924	1.38993
10	10307	2.35569
10	12805	3.69196
10	12860	3.86625
10	13068	3.79042
11	12457	4.86008
11	14158	2.29847
11	14324	2.59449
11	14343	2.57482
11	14553	2.98802
11	14558	2.98801
11	14601	3.22587
12	5615	3.16228
12	13955	2.02424
12	14209	2.32239
12	14410	2.57756
12	14532	2.95504
12	14681	3.1518
12	14911	3.63841
13	576	0.759364
13	9370	5.23832
13	10871	2.57455
13	10926	2.79798
13	11136	2.92457
13	12081	3.24888
13	13628	4.36289
14	4608	0.133539
14	10574	1.94517
14	12735	2.58742
14	13234	2.92869
14	13613	3.48063
14	13733	3.73055
14	13778	3.80738
15	1298	1.85203
15	4470	1.07011
15	8300	1.76418
15	9067	2.57673
15	9830	2.30856
15	13174	4.32784
15	13293	4.62081
16	13035	1.14091
16	13519	1.76292
16	13542	1.8508
16	13566	2.2723
16	14105	2.71145
16	14173	2.83467
16	14836	4.09519
17	6597	3.16228
17	11688	0.567243
17	11810	0.533507
17	14289	3.65315
17	14580	3.77475
17	14593	4.25229
17	14624	3.88728
18	780	1.85203
18	13686	2.31923
18	13781	2.46501
18	13936	2.81833
18	14008	2.90064
18	14071	3.05408
18	14099	3.11449
19	2653	0.378981
19	11494	2.07785
19	12271	2.63082
19	12363	2.79425
19	12467	2.67695
19	12557	2.93647
19	13260	3.1729
20	1646	0.0119326
20	2549	0.954831
20	9710	2.87943
20	10157	2.62864
20	11006	2.7252
20	12502	3.62852
20	12814	3.83968
21	8683	0.835775
21	11368	1.37678
21	11410	2.00629
21	13810	4.05966
21	13855	4.04055
21	14101	4.34918
21	14874	3.83539
22	3168	1.08547
22	7591	1.40816
22	11632	3.13312
22	11923	3.35178
22	12112	3.50964
22	12207	3.80829
22	12212	3.5049
23	5901	0.563431
23	8059	0.248567
23	11018	0.733204
23	14203	3.7669
23	14359	3.7934
23	14396	3.66992
23	14453	3.89282
24	12240	2.80207
24	14855	2.50385
24	14857	2.56554
24	14907	2.7351
24	14922	2.81853
24	14966	3.01877
24	14976	3.0349
25	10063	0.00710799
25	13434	1.06603
25	14288	2.74939
25	14437	2.9571
25	14443	3.24011
25	14512	3.30371
25	14590	3.34542
26	11616	0.266883
26	13494	1.8028
26	13969	2.50068
26	14222	2.96363
26	14247	3.01142
26	14274	3.06346
26	14338	3.05935
27	9188	0.0820861
27	11901	0.76708
27	13821	3.03967
27	13902	3.00707
27	13909	2.87842
27	13962	2.91157
27	14640	3.98234
28	13496	1.70341
28	13686	2.0719
28	13781	2.21767
28	13936	2.57099
28	13937	2.58763
28	14008	2.65331
28	14099	2.86716
29	2437	1.54082
29	2722	0.44984
29	5927	1.23089
29	11033	3.39737
29	11631	3.29003
29	12159	3.37425
29	12398	3.38504
30	5235	0.154001
30	12700	0.15348
30	14315	2.56906
30	14543	3.1218
30	14585	3.03159
30	14778	3.64126
30	14913	3.9985
31	9207	0.671899
31	11775	1.95616
31	12084	2.22429
31	12310	2.31429
31	13250	2.99642
31	13452	2.94675
31	14006	3.55843
32	11795	1.4398
32	11910	0.0191831
32	14367	2.42715
32	14832	3.63714
32	14841	3.49599
32	14858	3.4015
32	14910	3.69437
33	2193	1.62842
33	4402	1.82923
33	8596	2.64878
33	9301	2.99731
33	10155	3.19244
33	12376	4.37205
33	12586	5.22365
34	2645	2.26274
34	3559	0.352218
34	9854	2.19836
34	11928	3.17236
34	12512	3.41307
34	13041	3.70559
34	13119	3.82664
35	7008	0.702055
35	8090	0.655197
35	12040	4.50433
35	14053	3.68606
35	14056	3.82672
35	14122	3.82114
35	14257	3.97705
36	7635	0.55187
36	8729	4.68722
36	11326	1.90232
36	12927	3.00929
36	13000	3.07113
36	13664	3.96678
36	13888	4.16685
37	3359	1.25375
37	5899	1.19623
37	6999	1.28529
37	9978	2.39961
37	10821	2.4905
37	12698	3.89959
37	13499	4.14326
38	1272	1.85203
38	3627	2.8161
38	5823	2.87103
38	6393	2.82572
38	8745	3.4207
38	11512	4.73468
38	14163	3.5355
39	5858	1.37931
39	8501	1.63241
39	10779	2.66279
39	11540	3.16642
39	12638	3.63033
39	13076	3.01603
39	13142	4.19697
40	9987	0.667595
40	11169	1.27358
40	11754	2.143
40	12727	5.35187
40	13722	4.03699
40	14057	4.34003
40	14088	4.20704
41	6231	1.32182
41	7668	1.69698
41	8448	1.32654
41	10779	2.66103
41	11540	3.16465
41	12638	3.62856
41	13142	4.1952
42	1360	1.18242
42	13358	0.97917
42	13918	1.78058
42	14471	2.77023
42	14792	3.32036
42	14847	3.74734
42	14958	4.07057
43	3186	0.297613
43	13623	0.982491
43	14027	1.83327
43	14336	2.58997
43	14658	3.25484
43	14837	3.74606
43	14999	3.96398
44	6455	1.5538
44	7651	2.55352
44	9736	2.28614
44	10893	3.25275
44	11102	3.1786
44	12346	3.84341
44	12598	2.83859
45	4408	0.659831
45	9764	1.79781
45	10799	2.28384
45	11232	2.69602
45	12201	3.02365
45	12202	2.98743
45	12492	3.21966
46	11544	1.24132
46	12526	1.81575
46	13498	2.48942
46	13560	2.8285
46	13743	1.24764
46	14433	3.9633
46	14673	4.32994
47	13975	1.52902
47	14160	2.04312
47	14336	2.46452
47	14356	2.22875
47	14492	2.60536
47	14562	2.66808
47	14658	3.1294
48	11586	4.26678
48	14569	1.85646
48	14833	2.71351
48	14903	2.86264
48	14945	2.99406
48	14965	3.14004
48	14991	3.13989
49	3752	0.780909
49	8643	0.579328
49	9565	0.810963
49	12679	2.97374
49	13704	3.63617
49	13738	3.85165
49	14103	4.03601
50	2800	2.07409
50	3941	1.87401
50	4296	2.51685
50	9235	3.03839
50	9505	3.40874
50	11027	3.75615
50	13216	3.09532
51	12182	0.0178554
51	12788	0.771491
51	12973	4.68921
51	14428	3.59624
51	14503	3.74827
51	14666	4.05692
51	14771	4.49685
52	138	1.89931
52	2384	2.09197
52	2987	2.26274
52	7872	2.49026
52	9943	2.95673
52	9971	2.84833
52	12827	4.38163
53	5766	0.225025
53	8547	0.0452953
53	12496	2.34367
53	13098	3.00371
53	13176	3.35979
53	13691	3.47431
53	14112	4.21644
54	7457	1.56427
54	9113	1.8548
54	9654	2.17671
54	9940	1.96146
54	10217	2.70277
54	12141	3.15571
54	12369	3.25252
55	831	1.17548
55	5199	1.46601
55	6967	2.1338
55	8063	2.27621
55	8970	1.68848
55	13500	4.78839
55	13627	4.82835
56	5090	0.246316
56	11915	0.694765
56	13424	2.53102
56	13538	2.64964
56	13797	2.93574
56	14231	3.76772
56	14368	3.84303
57	13950	1.55909
57	14052	1.70331
57	14204	2.16816
57	14332	2.26134
57	14463	2.55895
57	14559	2.76545
57	14891	3.65394
58	924	0.902321
58	10215	2.56684
58	10279	2.28702
58	11897	3.51481
58	12318	3.50563
58	12771	3.89161
58	14538	2.55089
59	2739	2.26274
59	11793	2.06742
59	12090	2.09805
59	12950	2.55135
59	13404	3.07189
59	13770	3.44378
59	13943	3.43573
60	10806	0.332512
60	11500	1.06695
60	12989	2.38181
60	13077	2.81899
60	13690	3.12207
60	13863	3.41637
60	13926	3.52953
61	7434	3.64829
61	14722	2.28253
61	14845	2.69227
61	14881	2.84344
61	14918	2.97783
61	14939	2.98097
61	14944	2.90117
62	787	0.656514
62	3455	0.0553026
62	8233	0.900862
62	8940	1.80645
62	11154	3.31344
62	13845	4.92233
62	14570	5.91419
63	3999	1.17227
63	5249	1.72089
63	5490	2.03743
63	5693	3.16228
63	6706	1.79548
63	13500	4.95111
63	13627	4.99106
64	14603	1.42199
64	14762	2.18516
64	14819	2.18827
64	14923	2.66238
64	14927	2.59439
64	14949	2.81024
64	14987	2.81022
65	5019	0.989737
65	7735	4.15692
65	7738	1.55001
65	11720	3.19745
65	11806	3.16824
65	12527	3.87023
65	12999	3.89257
66	13273	1.45465
66	13549	1.93918
66	14306	3.17596
66	14341	3.14828
66	14510	3.38117
66	14561	3.57252
66	14562	1.63898
67	4840	1.59093
67	6575	1.70705
67	6700	1.90496
67	7972	2.58118
67	9369	2.71275
67	10408	3.06409
67	11204	3.10727
68	14261	1.08059
68	14385	1.54733
68	14569	1.93036
68	14833	2.7874
68	14903	2.93654
68	14965	3.21394
68	14991	3.21378
69	11641	2.49341
69	14440	2.0092
69	14719	2.68267
69	14764	2.9554
69	14785	2.92827
69	14814	3.05674
69	14856	3.05192
70	3142	0.750841
70	9627	2.15364
70	9856	2.04871
70	11047	2.44268
70	11445	2.83063
70	11827	3.01437
70	12244	3.42735
71	2955	0.542682
71	9712	1.9796
71	10148	2.81521
71	10348	2.76479
71	10733	2.74545
71	12604	3.77676
71	12873	4.02334
72	8326	0.149388
72	12985	2.50285
72	13155	2.73148
72	13455	3.03392
72	13915	3.65726
72	14150	1.95283
72	14665	4.59338
73	2156	0.674799
73	7944	1.57217
73	10639	2.23987
73	10835	2.25184
73	11931	3.16064
73	12493	3.31493
73	12956	3.45399
74	11703	4.47214
74	14452	1.93275
74	14715	2.5498
74	14754	2.65578
74	14875	2.8984
74	14969	3.30715
74	14979	3.32444
75	13096	0.501378
75	14609	2.93559
75	14637	2.86917
75	14761	3.33645
75	14812	3.39079
75	14878	3.63808
75	14920	2.12932
76	2331	0.409503
76	7280	1.85068
76	10613	2.94514
76	12051	3.75815
76	12086	3.90276
76	12289	3.80201
76	14117	1.56418
77	6065	1.26799
77	7602	1.94924
77	10665	2.89268
77	11543	3.29159
77	12082	3.51533
77	12317	3.75139
77	12848	3.69974
78	8141	0.187614
78	12496	2.39399
78	12884	2.54749
78	13098	3.05402
78	13542	1.60732
78	13941	4.21836
78	14112	4.26676
79	11764	4.47214
79	13904	1.91222
79	14123	2.22313
79	14334	2.34051
79	14733	3.23736
79	14780	3.31835
79	14902	3.63712
80	13259	0.863858
80	13701	1.49967
80	14451	2.77185
80	14457	2.82561
80	14495	2.53983
80	14504	2.56266
80	14915	3.60475
81	2960	2.26274
81	5785	0.778071
81	10501	1.99135
81	10626	2.34939
81	12769	3.40025
81	13192	3.74432
81	13859	4.40486
82	8701	0.598987
82	8721	0.627053
82	9218	0.612615
82	13324	3.32074
82	13407	3.34157
82	13785	3.86378
82	14049	4.30349
83	7384	0.730973
83	9025	1.43932
83	11928	2.7004
83	12009	2.26814
83	12512	2.94111
83	13041	3.23362
83	13119	3.35467
84	10887	1.04501
84	11568	0.491796
84	13253	2.09487
84	13838	3.16271
84	13920	3.45907
84	14108	3.59442
84	14113	3.8654
85	14385	1.5372
85	14833	2.77728
85	14899	2.70806
85	14903	2.92641
85	14945	3.05783
85	14965	3.20381
85	14991	3.20366
86	12497	1.97495
86	13410	2.33561
86	13572	2.83944
86	13772	3.17985
86	13881	3.1494
86	13998	3.18899
86	14946	3.24302
87	302	0.091126
87	13150	1.52362
87	13830	2.39904
87	14196	2.78353
87	14314	3.11038
87	14322	3.19377
87	14497	3.56677
88	593	1.33403
88	1445	1.51994
88	2374	1.84815
88	8191	2.39984
88	10034	2.7324
88	10381	3.14438
88	11980	3.68948
89	5452	2.7
89	14376	2.07999
89	14705	2.86039
89	14711	2.8786
89	14724	2.94859
89	14757	2.95511
89	14758	2.96468
90	3110	1.24658
90	8959	1.67271
90	9025	2.05888
90	9854	2.34596
90	9891	1.93025
90	12512	3.56067
90	13041	3.85318
91	1420	1.85203
91	3938	1.89437
91	6310	2.26242
91	7766	2.49352
91	9505	3.32014
